Tytuł;Link;Krótki opis
Green Bean;https://greenbean.com.pl/;Polski importer i ekspert w dziedzinie surowych ziaren kawy dla palarni.
Bero Polska;https://bero.pl/;Członek Neumann Kaffee Gruppe zajmujący się profesjonalnym obrotem kawą zieloną.
Sweet Maria's;https://www.sweetmarias.com/;Legendarny serwis dla domowych pasjonatów wypalania i źródło wiedzy o kawie.
Cafe Imports;https://www.cafeimports.com/;Globalny importer oferujący bogate materiały edukacyjne i rankingi kaw segmentu specialty.
Perfect Daily Grind;https://perfectdailygrind.com/;Portal branżowy z licznymi artykułami o uprawie, obróbce i rynku kawy zielonej.
Royal Coffee;https://royalcoffee.com/;Firma dostarczająca kawę zieloną oraz prowadząca laboratorium analiz sensorycznych.
Genuine Origin;https://www.genuineorigin.com/;Platforma handlowa skupiona na transparentności i bezpośrednich relacjach z plantatorami.
Enaturalnie;https://enaturalnie.pl/zielona-kawa_151;Polski sklep oferujący zieloną kawę w formie suplementów i ziaren do parzenia.
Kaleido Roasters;https://kaleidoroasters.com/;Serwis łączący sprzedaż urządzeń do wypalania z bazą wiedzy o surowych ziarnach.
Coffee Courses;https://coffeecourses.com/;Portal edukacyjny z bazą danych światowych importerów i dystrybutorów kawy zielonej.